Date,Close/Last,Volume,Open,High,Low
09/16/2024,$646.25,939837,$655.24,$656.01,$643.43
09/13/2024,$655.31,1226674,$642.90,$660.90,$641.37
09/12/2024,$646.37,1178936,$643.73,$646.89,$638.3436
09/11/2024,$643.92,1327115,$631.69,$645.75,$613.945
09/10/2024,$633.62,1022235,$630.61,$633.75,$620.86
09/09/2024,$626.99,1005778,$621.49,$628.7382,$617.00
09/06/2024,$615.12,999734,$625.00,$626.11,$611.81
09/05/2024,$621.48,773542,$621.36,$622.93,$611.92
09/04/2024,$623.10,866922,$621.03,$626.375,$617.51
09/03/2024,$624.81,1324728,$632.64,$638.88,$621.00
08/30/2024,$630.26,2069467,$625.02,$631.17,$617.4025
08/29/2024,$622.80,986762,$622.64,$631.54,$621.22
08/28/2024,$617.04,1035024,$624.32,$627.8694,$614.41
08/27/2024,$626.32,1477757,$615.48,$628.38,$611.6875
08/26/2024,$617.12,1968101,$623.00,$633.95,$615.73
08/23/2024,$619.85,4113425,$660.00,$660.00,$610.4001
08/22/2024,$665.29,1467722,$673.01,$674.78,$663.13
08/21/2024,$670.49,1256086,$669.69,$672.5434,$664.97
08/20/2024,$667.28,1110833,$663.30,$669.70,$661.88
08/19/2024,$663.30,1217321,$654.50,$664.71,$653.02
08/16/2024,$653.53,765779,$652.65,$657.20,$650.94
08/15/2024,$652.14,937097,$645.39,$652.96,$644.20
08/14/2024,$636.74,1501283,$627.27,$640.23,$625.00
08/13/2024,$645.83,1040171,$634.69,$648.56,$630.01
08/12/2024,$627.41,647079,$629.22,$635.29,$624.83
08/09/2024,$630.20,802793,$625.00,$634.79,$622.195
08/08/2024,$626.12,1042370,$615.52,$628.54,$613.74
08/07/2024,$609.45,1123535,$622.96,$630.12,$608.03
08/06/2024,$612.29,1339489,$610.13,$622.06,$607.015
08/05/2024,$602.97,1787125,$608.26,$614.77,$597.22
08/02/2024,$623.92,1788726,$626.94,$626.94,$611.09
08/01/2024,$637.82,1301236,$647.00,$660.21,$630.09
07/31/2024,$647.35,1423914,$652.00,$662.6663,$641.905
07/30/2024,$635.80,1064190,$640.00,$645.475,$629.53
07/29/2024,$636.36,1242197,$637.45,$642.64,$629.59
07/26/2024,$633.36,987151,$632.60,$643.50,$628.40
07/25/2024,$626.32,1240978,$629.87,$641.1199,$620.27
07/24/2024,$620.24,1590300,$629.82,$637.06,$619.10
07/23/2024,$637.10,1193616,$643.68,$648.26,$636.61
07/22/2024,$644.52,1473576,$643.61,$645.98,$635.91
07/19/2024,$636.56,1056569,$638.78,$640.445,$632.395
07/18/2024,$637.47,1383880,$661.66,$661.66,$632.70
07/17/2024,$658.91,1156378,$663.07,$666.32,$658.06
07/16/2024,$666.15,988709,$660.00,$668.64,$655.53
07/15/2024,$658.18,1043896,$641.04,$658.54,$640.18
07/12/2024,$641.95,1044892,$631.64,$646.10,$629.60
07/11/2024,$629.41,1235127,$638.59,$643.17,$627.22
07/10/2024,$632.84,1962616,$636.69,$636.69,$622.65
07/09/2024,$650.42,861431,$659.58,$660.00,$649.09
07/08/2024,$659.58,1022474,$660.58,$663.09,$655.94
07/05/2024,$668.75,1517071,$655.00,$674.34,$653.36
07/03/2024,$659.90,931929,$651.27,$662.44,$650.55
07/02/2024,$656.22,951174,$651.00,$657.00,$649.69
07/01/2024,$650.77,1195205,$652.51,$653.13,$642.48
06/28/2024,$657.21,1753982,$652.00,$662.51,$647.98
06/27/2024,$651.44,1478194,$639.08,$657.16,$635.51
06/26/2024,$637.48,1169588,$628.00,$638.645,$624.49
06/25/2024,$630.47,1272120,$629.17,$630.55,$624.39
06/24/2024,$623.88,1605990,$630.72,$633.72,$622.46
06/21/2024,$632.15,3682587,$625.84,$634.15,$618.55
06/20/2024,$616.08,1840018,$610.49,$617.66,$608.305
06/18/2024,$609.68,1376148,$603.73,$610.45,$601.90
06/17/2024,$602.52,1248734,$589.84,$604.63,$586.25
06/14/2024,$595.70,1070500,$598.40,$599.98,$594.59
06/13/2024,$594.62,2132221,$594.53,$600.41,$586.03
06/12/2024,$592.22,2591779,$580.00,$602.67,$578.65
06/11/2024,$566.70,1570986,$565.00,$569.42,$562.57
06/10/2024,$567.24,1567749,$569.43,$572.72,$565.77
06/07/2024,$573.90,1048593,$572.67,$576.29,$566.46
06/06/2024,$572.65,1448756,$573.74,$575.60,$570.005
06/05/2024,$574.27,1596029,$571.88,$574.84,$560.53
06/04/2024,$572.06,1172095,$568.38,$574.35,$563.695
06/03/2024,$567.22,1566935,$575.61,$576.5175,$562.61
05/31/2024,$576.44,3136200,$561.75,$577.41,$557.29
05/30/2024,$562.97,3409894,$588.46,$588.46,$560.91
05/29/2024,$598.28,1893244,$593.20,$611.30,$593.20
05/28/2024,$600.02,2639984,$604.58,$605.1039,$592.14
05/24/2024,$606.99,4252637,$621.002,$624.00,$600.485
05/23/2024,$662.26,1886178,$675.00,$676.62,$659.50
